발생년도,구분,사망자수,구성비,증감수,증감률
2013,00시-02시,393,7.7,-6,-1.5
2013,02시-04시,284,5.6,-54,-16
2013,04시-06시,389,7.6,-28,-6.7
2013,06시-08시,436,8.6,10,2.3
2013,08시-10시,387,7.6,-13,-3.3
2013,10시-12시,359,7.1,-79,-18
2013,12시-14시,342,6.7,-29,-7.8
2013,14시-16시,377,7.4,-102,-21.3
2013,16시-18시,489,9.6,16,3.4
2013,18시-20시,643,12.6,-8,-1.2
2013,20시-22시,542,10.6,-16,-2.9
2013,22시-24시,451,8.9,9,2
2012,00시-02시,399,7.4,,
2012,02시-04시,338,6.3,,
2012,04시-06시,417,7.7,,
2012,06시-08시,426,7.9,,
2012,08시-10시,400,7.4,,
2012,10시-12시,438,8.1,,
2012,12시-14시,371,6.9,,
2012,14시-16시,479,8.9,,
2012,16시-18시,473,8.8,,
2012,18시-20시,651,12.1,,
2012,20시-22시,558,10.3,,
2012,22시-24시,442,8.2,,
