구,년도,CCTV수,발생,검거,검거율
종로구,2002,0,4962,4159,83.81700927
중구,2002,0,6227,5631,90.4287779
성북구,2002,0,6609,6982,105.643819
은평구,2002,0,7909,6662,84.23315211
관악구,2002,0,5720,4165,72.81468531
서초구,2002,0,7773,6267,80.62524122
강남구,2002,5,12895,9640,74.75765801
서대문구,2002,0,3947,3844,97.39042311
용산구,2002,0,4010,3807,94.93765586
동대문구,2002,0,5785,5773,99.79256698
마포구,2002,0,6370,5094,79.96860283
영등포구,2002,0,5468,4823,88.20409656
성동구,2002,0,3880,3802,97.98969072
동작구,2002,0,4766,4032,84.59924465
광진구,2002,0,7546,5811,77.00768619
강북구,2002,0,5037,4197,83.32340679
중랑구,2002,0,6767,6034,89.16802128
강서구,2002,0,6797,5419,79.72634986
강동구,2002,0,5053,4746,93.92440135
구로구,2002,0,5736,4271,74.4595537
양천구,2002,0,5523,4599,83.26996198
송파구,2002,0,4751,4082,85.91875395
노원구,2002,0,3489,3045,87.27429063
도봉구,2002,0,4604,4402,95.61251086
금천구,2002,0,6078,5360,88.18690359
종로구,2003,0,5697,4812,84.46550816
중구,2003,0,4796,3921,81.75562969
성북구,2003,0,6194,5681,91.71779141
은평구,2003,0,8338,7019,84.18085872
관악구,2003,0,5849,3937,67.31065139
서초구,2003,0,6894,5960,86.45198724
강남구,2003,42,10916,9338,85.54415537
서대문구,2003,0,3782,3160,83.5536753
용산구,2003,0,3962,3373,85.13377082
동대문구,2003,0,5740,5760,100.3484321
마포구,2003,0,6412,4947,77.1522146
영등포구,2003,0,5046,4608,91.31985731
성동구,2003,0,4663,4864,104.3105297
동작구,2003,0,4888,4331,88.60474632
광진구,2003,0,7445,5841,78.45533915
강북구,2003,0,5332,5036,94.44861215
중랑구,2003,0,7233,5666,78.33540716
강서구,2003,0,6082,4975,81.79875041
강동구,2003,0,5456,4536,83.13782991
구로구,2003,0,5186,4012,77.36212881
양천구,2003,0,5192,4449,85.68952234
송파구,2003,0,4622,4270,92.38424924
노원구,2003,0,3845,3319,86.31989597
도봉구,2003,0,4759,3882,81.57175877
금천구,2003,0,6403,5085,79.4158988
종로구,2004,3,4613,4643,100.650336
중구,2004,6,4073,3167,77.75595384
성북구,2004,28,6340,5796,91.41955836
