번호,name,LAT,LON
1,번창교,37.6423360 ,127.0317140 
2,번1동 471-1,37.6408829 ,127.0327707 
3,번1동 415-1,37.6379178 ,127.0269230 
4,인수동 410-51,37.6385723 ,127.0132799 
5,인수동 410-70,37.6390985 ,127.0126014 
6,인수동 435-63,37.6366858 ,127.0116804 
7,인수동 440-45,37.6360412 ,127.0127025 
8,인수동 516-29,37.6380066 ,127.0082272 
9,인수동 518-42,37.6366560 ,127.0102172 
10,삼양동 791-2175,37.6219811 ,127.0178673 
11,삼양동 791-3068,37.6241379 ,127.0155744 
12,미아동 222-86,37.6279371 ,127.0225010 
13,송중동 75-45,37.6137525 ,127.0326265 
14,송중동 85-2,37.6154548 ,127.0340038 
15,송천동 436-75,37.6163859 ,127.0248292 
16,송천동 61-17,37.6146409 ,127.0289025 
17,송천동 325-29,37.6190782 ,127.0255481 
18,번1동 416-128,37.6383703 ,127.0275309 
19,번2동 148-205,37.6266923 ,127.0346589 
20,번3동 305-5,37.6279956 ,127.0400261 
21,번2동 526-13,37.6343130 ,127.0304193 
22,수유2동 276-20,37.6468881 ,127.0158490 
23,수유3동 171-28,37.6425413 ,127.0265346 
24,수유3동 25-1,37.6385867 ,127.0187041 
25,우이동 73-102,37.6494040 ,127.0127823 
26,인수동 421-8,37.6366491 ,127.0139687 
27,인수동 441-71,37.6354678 ,127.0124031 
28,우이동 47-21,37.6581254 ,127.0119098 
29,수유동 304-3,37.6442085 ,127.0129735 
30,미아동 198-29,37.6269457 ,127.0284687 
31,미아동 309-8,37.6239155 ,127.0249796 
32,송중동 8-40,37.6144957 ,127.0381005 
33,송천동 403-22,37.6177889 ,127.0246224 
34,번1동 443-5,37.6356111 ,127.0259140 
35,번1동 461-1,37.6384848 ,127.0305327 
36,수유3동 130-34,37.6368680 ,127.0188569 
37,수유2동 252-164,37.6462056 ,127.0214173 
38,수유동 280-49,37.6475828 ,127.0135142 
39,인수동 540-57,37.6431474 ,127.0086077 
40,수유1동 472-477,37.6334096 ,127.0181532 
41,수유2동 252-4,37.6460803 ,127.0211229 
42,수유동 291-207,37.6453278 ,127.0131919 
43,수유동 291-208,37.6453103 ,127.0130493 
44,인수동 516-33,37.6377294 ,127.0082529 
45,인수동 530-103,37.6420415 ,127.0088722 
46,수유동 559-3,37.6450403 ,127.0098126 
47,수유동 569-58,37.6467779 ,127.0108861 
48,삼양동 791-1294,37.6263931 ,127.0170549 
49,미아동 165-63,37.6323319 ,127.0256932 
50,미아동 223-1,37.6274495 ,127.0236239 
51,미아동 307-45,37.6240749 ,127.0231069 
52,송중동 75-95,37.6147728 ,127.0321616 
53,송중동 8-306,37.6165402 ,127.0378086 
54,송천동 719-7,37.6203285 ,127.0226117 
55,송천동 754-1,37.6230111 ,127.0216467 
56,송중동 258-507,37.6253521 ,127.0316183 
57,번1동 447-6,37.6363062 ,127.0263888 
58,수유2동 252-19,37.6457475 ,127.0204344 
59,수유2동 252-25,37.6458092 ,127.0212913 
60,수유동 282-7,37.6466838 ,127.0143167 
61,인수동 442-64,37.6353653 ,127.0140160 
62,수유1동 52-30,37.6316374 ,127.0208899 
63,수유3동 9-52,37.6377601 ,127.0201982 
64,수유동 594-10,37.6466053 ,127.0046144 
65,수유동 594-6,37.6463636 ,127.0049722 
66,수유동 595-1,37.6462729 ,127.0052582 
67,수유동 584-9,37.6469245 ,127.0066913 
68,수유동 596-18,37.6466670 ,127.0062457 
69,수유동 567-56,37.6465257 ,127.0074753 
70,인수동 521-20,37.6400114 ,127.0118253 
71,삼양동 791-3665,37.6243298 ,127.0134769 
72,삼양동 791-775,37.6264969 ,127.0200069 
73,삼양동 839-155,37.6207207 ,127.0161012 
