번호,name,LAT,LON
1,풍납1동 124-5,37.5381829,127.1161235
2,풍납1동 133-19,37.5367175,127.1180238
3,풍납1동 473-1,37.5384756,127.1224504
4,풍납1동 490-7,37.5346145,127.1214902
5,풍납2동 389,37.5259406,127.1152557
6,풍납2동 281-3,37.5329179,127.1136017
7,풍납2동 292-1,37.5338604,127.1127067
8,풍납2동 297-1,37.5348911,127.1121038
9,풍납2동 389-2,37.5253577,127.1154079
10,풍납2동 396,37.5283501,127.1150571
11,풍납2동 469-3,37.5284263,127.1086756
12,풍납2동 501-24,37.5317886,127.1192455
13,풍납2동 338-8,37.53076,127.1192262
14,풍납2동 406-1,37.5289435,127.117384
15,풍납2동 399-20,37.5274179,127.1160783
16,거여1동 129-49,37.497839,127.1448776
17,거여1동 358-1,37.493043,127.1416516
18,거여2동 198-1,37.4946119,127.1472585
19,거여2동 234-47,37.4934095,127.1486606
20,거여2동 205-37,37.4939821,127.1488929
21,거여2동 258-9,37.4908549,127.1490975
22,거여2동 258-108,37.4913642,127.1475482
23,거여2동 258-99,37.4911925,127.1479636
24,마천1동 125-22,37.4967229,127.148329
25,마천1동 180-11.,37.4959067,127.1511439
26,마천1동 188-2,37.496726,127.1537832
27,마천1동 211-90,37.4939506,127.1551143
28,마천1동 214,37.4951799,127.1555993
29,마천1동 323-197,37.4917952,127.1556244
30,마천1동 329-6,37.4919274,127.1564388
31,마천1동 355-1,37.4971604,127.1555405
32,마천2동 12-12,37.5022485,127.1446462
33,마천2동 35-4,37.498969,127.1464945
34,마천2동 47-13,37.5007797,127.1486326
35,마천2동 49-10,37.499989,127.147999
36,마천2동 89-2,37.5000661,127.1505828
37,마천동 134-1,37.4977408,127.1503403
38,마천2동 173-30,37.4981017,127.1518693
39,마천2동 191-32,37.4975864,127.1526719
40,마천2동 140,37.4990558,127.1499693
41,마천2동 162-8,37.499317,127.1526744
42,방이1동 131-5,37.5105162,127.12031
43,방이1동 163-4,37.5118278,127.1214545
44,방이1동 204-4,37.5099578,127.1253627
45,방이1동 219-9,37.5076723,127.1215379
46,방이2동 55-14,37.5144222,127.1121418
47,방이2동 98-9,37.5141165,127.1113712
48,방이2동 105-13,37.5111441,127.1118193
49,방이2동 124-35,37.5099291,127.1175988
50,방이2동 174-4,37.5147231,127.1181613
51,방이2동 158,37.512881,127.1188965
52,방이동 89-10,37.5154389,127.1342837
53,오금동 17,37.5096706,127.1274905
54,오금동 33-21,37.5057577,127.1305115
55,오금동 81-6,37.5069275,127.132893
56,오금동 96-14,37.5073449,127.1353376
57,오금동 116-12,37.5037171,127.1404523
58,송파1동 9-9,37.5089607,127.1059008
59,송파1동 18-18,37.5068037,127.1082118
60,송파1동 26-7,37.5082064,127.1071426
61,송파1동 36-19,37.5094931,127.1076001
62,송파1동 41-1,37.508629,127.1085538
63,송파1동 43-1,37.5094253,127.1099936
64,송파1동 54-9,37.5102015,127.1090274
65,송파1동 56-1,37.5107196,127.1080554
66,송파1동 108-8,37.5042849,127.1117204
67,송파1동 115-9,37.5060173,127.1119063
68,송파1동 128,37.5070445,127.1133598
69,송파1동 133-10,37.5078619,127.1113322
70,송파1동 144-7,37.5079699,127.1150438
71,송파2동 99-2,37.5020028,127.1135034
72,송파2동 99-2,37.5020028,127.1135034
73,송파2동 176-5,37.5020722,127.1157392
74,송파2동 194-2,37.5002216,127.1129395
75,석촌동 19,37.5043881,127.0989858
76,석촌동 54-31,37.5044109,127.1002587
77,석촌동 154-8,37.5056696,127.1024421
78,석촌동 180,37.5068695,127.1038601
79,석촌동 215-15,37.5006085,127.0986353
80,석촌동 238,37.5002134,127.1002638
81,석촌동 235-11,37.5023298,127.0998125
82,석촌동 247,37.5025149,127.1011484
83,석촌동 278-19,37.501438,127.1066232
84,석촌동 307,37.497879,127.0991589
85,석촌동 286-9,37.5042716,127.106144
86,삼전동 4-2,37.5062455,127.0908109
87,삼전동 28-17,37.5036987,127.0880617
88,삼전동 55,37.5007555,127.0901283
89,삼전동 69-9,37.4990963,127.0920254
90,삼전동 73-8,37.5018676,127.094028
91,삼전동 98-9,37.5045444,127.0929494
92,삼전동 132-5,37.503337,127.0966033
93,삼전동 53-6,37.4997946,127.0906329
94,가락본동 1,37.5030469,127.1230725
95,가락본동 94,37.4991647,127.1175831
96,가락본동 106-3,37.4907858,127.1228771
97,가락본동 112-12,37.4937216,127.1219812
98,가락2동 124-21,37.4932331,127.1254033
99,가락2동 146-7,37.4957207,127.1246928
100,가락2동 150-7,37.4966585,127.1267003
101,가락2동 150-16,37.4974085,127.1259514
102,가락2동 193-12,37.4948992,127.1312578
103,가락2동 164-9,37.4969414,127.1316156
104,문정1동 4-15,37.4907991,127.1258657
105,문정1동 28-9,37.4897632,127.1244186
106,문정1동 29-7,37.4899918,127.1243344
107,문정1동 50-7,37.4866895,127.1242404
108,문정1동 53-18,37.4877172,127.1224888
109,문정2동 150-34,37.4907762,127.1153179
110,문정2동 150-8,37.4895772,127.1107344
111,문정동 73-10,37.4805144,127.1258343
112,문정동 78-18,37.4813637,127.1274768
113,문정동 139-8,37.4896207,127.1350174
114,문정동 142-8,37.4880838,127.1351574
115,문정동 145,37.490584,127.1354425
116,장지동 844,37.4791915,127.1308491
117,장지동택지개발지구,37.4815986,127.132509
118,잠실본동 181-6,37.5114531,127.0822891
119,잠실본동 188-8,37.510622,127.0828447
120,잠실본동 209-5,37.5084607,127.0869038
121,잠실본동 240-12,37.5075691,127.0859591
122,잠실본동 313-10,37.5054851,127.0831526
123,잠실본동 314-14,37.5048699,127.084731
124,잠실본동 305-9,37.504884,127.0774801
125,신천동 21,37.5236456,127.1095256
126,잠실7동 50-4,37.509583,127.0726158
127,풍납동 88-77,37.5380543,127.1175846
128,풍납동 165-2,37.533785,127.117809
129,풍납동 403-2,37.5289281,127.116037
130,풍납동 388-8,37.5260657,127.1132774
131,거여동 136-106호 맞은편,37.4961289,127.1447194
132,거여동 5-3,37.4987847,127.1420815
133,거여동 13-19,37.496644,127.1406986
134,거여동 234-5,37.4931928,127.1496618
135,거여동 40-11,37.4936981,127.145424
136,마천동 308-23,37.492836,127.1536094
137,마천동 321-15,37.4927303,127.1550868
138,마천동 143-17,37.4979271,127.151354
139,마천동 24-1,37.5000258,127.1444407
140,마천동 128-50,37.4964428,127.1490069
141,마천동 159-221,37.4990994,127.1548881
142,방이동 127-7,37.5086767,127.1185673
143,방이동 133-3,37.5111422,127.1196683
144,방이동 134-6,37.5098131,127.118959
145,방이동 70-3,37.5136819,127.1102633
146,방이동 104-5,37.5122992,127.1119448
147,방이동 170,37.5141692,127.1191722
148,방이동 45-4,37.5162852,127.1149962
149,오금동 66-12,37.5028729,127.1353421
150,오금동 61번지 건너편,37.5016385,127.1355203
151,오금동 29-4 건너편,37.5076968,127.1318163
152,오금동 8 건너편,37.5089549,127.1306278
153,오금동 53-12,37.5023857,127.1330076
154,송파동 117-7,37.5064135,127.112822
155,송파동 20-11 건너편,37.5081153,127.1096505
156,송파동 118-11,37.5062694,127.113267
157,송파동 117-29,37.5065102,127.1125123
158,송파동 117-12,37.5055977,127.1121792
159,송파동 99,37.5027124,127.1134938
160,송파동 산 162-3,37.5048493,127.117389
161,석촌동 297-28,37.5011541,127.1098067
162,석촌동 244-4 건너편,37.5013381,127.1013363
163,석촌동 217-9,37.4995791,127.0971921
164,석촌동 158-11,37.5069984,127.1016275
165,석촌동 283 건너편,37.5033084,127.1054048
166,삼전동 118-4,37.5036394,127.0942366
167,삼전동 33-7,37.5029081,127.0873932
168,삼전동 53 건너편,37.5002062,127.0893894
169,삼전동 164-5,37.5009913,127.0947884
170,가락동 108-11,37.4914274,127.1252165
171,가락동 133-13,37.4930784,127.1267714
172,가락동 142-3,37.4959718,127.1261135
173,가락동 154-19 건너편,37.4971982,127.1285032
174,가락동 125-10,37.4921848,127.1263137
175,문정동 8-23,37.4900338,127.1272853
176,문정동 46-8,37.4879491,127.1228706
177,문정동 80-9,37.4819516,127.1285736
178,문정동 93 건너편,37.4844863,127.1283315
179,문정동 80-2,37.4810606,127.1277257
180,잠실동 301-6,37.5042054,127.0789772
181,잠실동 221-5,37.5083091,127.081269
182,잠실동 206-15,37.5090583,127.0845628
183,잠실동 199,37.5093441,127.0807397
184,잠실본동 작은도서관(정면진입구),37.5030793,127.0768931
185,잠실본동 작은도서관(좌측진입구),37.50315,127.07867
186,잠실본동 작은도서관(휴식공간),37.5030991,127.0788616
